Open Mic,Day,Start Time,Latest End Time,Venue Name,Borough,Neighborhood,Location,Venue type,Cost,Stage time,Sign-Up Instructions,Host(s) / Organizer,Changes/updates,Last verified,SMS,Other Rules,Help other comics! Leave reviews,unique identifier,,,,
Producer's Club,Sunday,5:00 PM,6:00 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Comedy Club,$5 cash,5,in person only,Dee Major,@micdupnyc,Verified 5/13 Malev,9177517544,show up first go up first depending on the host,,Sunday-5:00 PM-@micdupnyc,,,,
The Golden Pen,Sunday,5:00 PM,6:00 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217, USA",Comedy Club,Free + 1 item minimum,5,signup there 30 mins prior,Vinnie Pedi,@vinnie_pedi,Verified 5/13 Malev,8455223640,,,Sunday-5:00 PM-@vinnie_pedi,,,,
Infinity Mic,Sunday,5:00 PM,7:00 PM,Caffeine Underground,Brooklyn,Bushwick,"447 Central Ave Suite A, Brooklyn, NY 11221, USA",Coffee Shop,Free (buy smth at bar pls),5,,Infinity Mic,@infinitymic.comm,Unverified,#N/A,,,Sunday-5:00 PM-@infinitymic.comm,,,,
Tiny Cupboard,Sunday,5:30 PM,7:00 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$2,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Tiny Cupboard,@thetinycupboard,Unverified,#N/A,,,Sunday-5:30 PM-@thetinycupboard,,,,
No Name Mic,Sunday,6:00 PM,7:00 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217, USA",Comedy Club,Free + 1 item minimum,5,sign up there,Andrew Marino and Massey Cashore,@m_c_comedy,Unverified,#N/A,,,Sunday-6:00 PM-@m_c_comedy,,,,
Fun Mug RIFF Mic,Sunday,6:00 PM,7:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002, USA",Comedy Club,$5,5,Comment on IG @thefearcitycomedyclub,Pablo Pantalones,@funmugnyc or @pabspants,Verified 5/13 Malev,4422796520,"2 comics go up together to each pull 3 riffs from the bucket, riff back and forth on stage together, then they get to each choose another comic to take their place, it's actually super fun",An Adam favorite,Sunday-6:00 PM-@funmugnyc or @pabspants,,,,
*1st/3rd Sun* Party Salad,Sunday,6:00 PM,8:00 PM,Easy Lover BK,Brooklyn,Williamsburg,"790 Metropolitan Ave, Brooklyn, NY 11211, USA",Bar,Free (buy smth at bar pls),,signup there,Zoe and Polina,@partysaladmic,Unverified,#N/A,,,Sunday-6:00 PM-@partysaladmic,,,,
Contagious Comedy,Sunday,6:00 PM,8:00 PM,The Comic Strip Live,Manhattan,UES,"1568 2nd Ave, New York, NY 10028, USA",Comedy Club,$10 with a free drink,5,email contagiouscomedyopenmic@gmail.com,Nicholle Kun,email contagiouscomedyopenmic@gmail.com,Verified 5/13 Malev,6463698611,,,Sunday-6:00 PM-email contagiouscomedyopenmic@gmail.com,,,,
Producer's Club,Sunday,6:00 PM,7:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Comedy Club,$5. (NO CASH),5,www.bushwickcomedy.com,Dee Major,@micdupnyc,Verified 5/13 Malev,9177517544,,,Sunday-6:00 PM-@micdupnyc,,,,
The Jersey mic,Sunday,6:15 PM,7:30 PM,Secret Pour,Brooklyn,Bushwick,"1114 DeKalb Ave, Brooklyn, NY 11221, USA",Comedy Club,$5 cash,5,in person only,Italian dude,@jerseymic,Unverified,#N/A,only 10 comics per mic. Must stay the whole time. A booker for the club watches every mic.,,Sunday-6:15 PM-@jerseymic,,,,
Bushwick Comedy Club,Sunday,6:30 PM,7:30 PM,Bushwick Comedy Club,Brooklyn,Bushwick,"259 Melrose St, Brooklyn, NY 11206, USA",Bar,Free (buy smth at bar pls),,signup there,Bushwick Comedy Club,@bushwickcomedyclub,Verified tediously 5/13 Malev,#N/A,,,Sunday-6:30 PM-@bushwickcomedyclub,,,,
Tiny Cupboard,Sunday,7:00 PM,8:30 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$2,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Blue Room Host,@thetinycupboard,Verified tediously 5/13 Malev,#N/A,,,Sunday-7:00 PM-@thetinycupboard,,,,
Odd bandit (queer and femme),Sunday,7:00 PM,8:30 PM,Dromedary (queer and femme),Brooklyn,Bushwick,"266 Irving Ave, Brooklyn, NY 11237",Bar,Free (buy smth at bar pls),,signup there,Odd bandit (queer and femme),@oddbanditcomedy,Unverified,#N/A,,,Sunday-7:00 PM-@oddbanditcomedy,,,,
Idaho bar,Sunday,7:00 PM,8:30 PM,Idaho Bar,Manhattan,East Village,"349 E 13th St, New York, NY 10003",Comedy Club,$2,5,sign up there,Idahoer,@udahomic,Verified tediously 5/13 Malev,#N/A,,,Sunday-7:00 PM-@udahomic,,,,
Producer's Club,Sunday,7:30 PM,9:00 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Theatre Space,Free (buy smth at bar pls),,"signup @byotmic on insta, or waitlist there",UCB,@byotmic,Unverified,#N/A,,,Sunday-7:30 PM-@byotmic,,,,
Punching Bag,Sunday,8:00 PM,9:30 PM,O'Keefe's Bar,Brooklyn,Downtown Brooklyn,"62 Court St, Brooklyn, NY 11201",Bar,Free (buy smth at bar pls),,signup there,Punching Bag,@punchingbagcomedy,Unverified,#N/A,,,Sunday-8:00 PM-@punchingbagcomedy,,,,
Tiny Cupboard,Sunday,8:30 PM,10:00 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Bar,Free (buy smth at bar pls),5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Tiny Cupboard,@thetinycupboard,Unverified,#N/A,,,Sunday-8:30 PM-@thetinycupboard,,,,
QED Sunday Mic,Sunday,8:30 PM,10:00 PM,QED Astoria,Queens,Astoria,"27-16 23rd Ave, Astoria, NY 11105, USA",Comedy Club,$5 cash,5,in person only,QED Staff,@qedastoria,Verified tediously 5/13 Malev,#N/A,,,Sunday-8:30 PM-@thefearcitycomedyclub,,,,
*Show Dependent* 9or10 Fear City,Sunday,9:00 PM,10:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002, USA",Comedy Club,$2,5,sign up there,Jonesy,@thefearcitycomedyclub,Verified 5/13 Malev,9707691563,,,Sunday-9:00 PM-@qedastoria,,,,
Pit Improv Jam,Sunday,9:30 PM,11:00 PM,The Pit Midtown,Manhattan,Midtown,"154 W 29th St, New York, NY 10001, USA",Comedy Club,$5+ purchase,4 min,Sign up at 8:00,The Pit Midtown,@thepitnyc,Verified tediously 5/13 Malev,#N/A,,,Sunday-9:30 PM-@thepitnyc,,,,
B. Y. O. T.,Sunday,10:00 PM,11:30 PM,UCB,Manhattan,East Village,"239 E 14th St, New York, NY 10003",Theatre Space,$5 cash,2 improv scenes,signup there,UCB,@byotmic,Verified tediously 5/13 Malev,#N/A,,,Sunday-10:00 PM-@byotmic,,,,
Tiny Cupboard,Sunday,10:00 PM,11:30 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$5,5,sign up there Open Mics Page for Tiny Cupboard Blue Room,Tiny Cupboard,@thetinycupboard,Unverified,#N/A,,,Sunday-10:00 PM-@thetinycupboard,,,,
Craig Lottner's Open Mic,Monday,12:30 PM,2:00 PM,West side Comedy Club,Manhattan,UWS,"201 W 75th St, New York, NY 10023",Comedy Club,Free,10 min,No sign-up details,Craig Lottner,@craiglottner,Verified 5/13 Malev,6464890748,,,Monday-12:30 PM-@craiglottner,,,,
Greg Giraldo's Open Mic,Monday,3:00 PM,4:30 PM,West side Comedy Club,Manhattan,UWS,"201 W 75th St, New York, NY 10023",Comedy Club,Free,5 min,No sign-up details,Greg Giraldo,@greggiraldojr,Verified 5/13 Malev,9173867241,,,Monday-3:00 PM-@greggiraldojr,,,,
Greenwich village comedy club,Monday,3:00 PM,4:45 PM,Greenwich village comedy club,Manhattan,Greenwich Village,"99 MacDougal St, New York, NY 10012, USA",Comedy Club,$5 cash,5,DrewTessier.com,Robert Johnson,@comedybydrew,Verified 5/13 Malev,#N/A,,,Monday-3:00 PM-@comedybydrew,,,,
Comedy Shop,Monday,4:00 PM,6:00 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012, USA",Comedy Club,$7.62 but you get a free drink or fries,5 min,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified tediously 5/13 Malev,#N/A,,,Monday-4:00 PM-@thecomedyshopvillage,,,,
West Side Comedy Club,Monday,4:30 PM,6:00 PM,West Side Comedy Club,Manhattan,UWS,"201 W 75th St, New York, NY 10023, USA",Comedy Club,$5,5 min,https://www.fcomedyclub.com/open-mics/monday-7%3A00-open-mic-hosted-by-hemming-ge-7,Heming Ge,@heming_comedy,Verified 5/13 Malev,3364092165,,,Monday-4:30 PM-@sayhiobi,,,,
Open Mic! w/ Obi O'Brien,Monday,4:30 PM,5:30 PM,The PIT NYC,Manhattan,Midtown,"New York, NY, USA",Theatre Space,$5,5 min,https://thepit-nyc.com/events/monday-open-mic-w-obi-obrien/,Obi O'Brien,@sayhiobi,Verified tediously 5/13 Malev,#N/A,,,Monday-4:30 PM-@shanonharrislive,,,,
Grisly Pear,Monday,4:30 PM,6:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 MacDougal St, New York, NY 10012, USA",Comedy Club,$5 cash,5,in person only,Shanon Harris,@shanonharrislive,Verified tediously 5/13 Malev,#N/A,,,Monday-4:30 PM-@heming_comedy,,,,
Don't Freak Out,Monday,5:00 PM,6:30 PM,New York Comedy Club Midtown,Manhattan,Gramercy,"241 E 24th St, New York, NY 10010, USA",Comedy Club,$5,5,signup there,Alex Mahaney,@alexmahaney,Verified 5/13 Malev,8025985139,show up first go up first depending on the host,,#REF!,,,,
Caravan of Dreams,Monday,5:00 PM,6:30 PM,Caravan of Dreams,Manhattan,East Village,"405 E 6th St, New York, NY 10009, USA",Restaurant,1 Item,5,List in Person,Josh Daws,@dawsjosh,Verified 5/13 Malev,8502847128,,,Monday-5:00 PM-@alexmahaney,,,,
The Stand LaughingBuddhaMic,Monday,5:00 PM,6:30 PM,The Stand NYC,Manhattan,East Village,"116 E 16th St, New York, NY 10003, USA",Comedy Club,$7,5-8 min,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 5/13 Malev,7184902903,show up first go up first depending on the host,,#REF!,,,,
Producer's Club,Monday,5:00 PM,6:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Comedy Club,$5 cash,5,in person only,Dee Major,@micdupnyc,Verified 5/13 Malev,9177517544,,,Monday-5:00 PM-@micdupnyc,,,,
Mondays with Messite,Monday,5:00 PM,6:30 PM,Broadway Comedy Club,Manhattan,Hell's Kitchen,"318 W 53rd St, New York, NY 10019, USA",Comedy Club,$5 cash,5,List in Person,Janice Messite,@janicemessite,Verified 5/13 Malev,9173704232,,,Monday-5:00 PM-@janicemessite,,,,
Midtown Pear LaughingBuddha Mic,Monday,5:00 PM,6:30 PM,Grisly Pear Midtown,Manhattan,Hell's Kitchen,"243 W 54th St, New York, NY 10019, USA",Comedy Club,$7,5-8 min,https://www.laughingbuddhacomedy.com/mics,Laughing Buddha Staff,@laughingbuddhacomedy,Verified 5/13 Malev,7184902903,only 10 comics per mic. Must stay the whole time. A booker for the club watches every mic.,,Monday-5:00 PM-@laughingbuddhacomedy,,,,
The Bull Jive mic,Monday,5:10 PM,6:10 PM,Cowboy Tom's,Manhattan,Lower east side,"120 Orchard St, New York, NY 10002",Comedy Club,$5,5-7 min,https://slotted.co/thebulljive/,,@seechaselounge,Verified tediously 5/13 Malev,#N/A,,,Monday-5:10 PM-@nataliedoescomedy,,,,
Comedy Village Open  Mic,Monday,5:30 PM,7:00 PM,Comedy Village,Manhattan,Manhattan,"352 W 44th St, New York, NY 10036, USA",Comedy Club,6 (includes a drink),5,Sign up form sent weekly via IG from @nataliedoescomedy and on FB,Natalie Gavilanes,@nataliedoescomedy,Verified tediously 5/13 Malev,#N/A,,,Monday-5:30 PM-@goodskunkcomedy,,,,
Flow State Mic,Monday,6:00 PM,7:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002, USA",Comedy Club,$5 cash,5,slotted.co/flowstatemic,Sesh Comedy,@flowstatecomedy,Verified tediously 5/13 Malev,#N/A,,,Monday-6:00 PM-@flowstatecomedy,,,,
Producer's Club,Monday,6:00 PM,7:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Comedy Club,$5,5,in person only,Dee Major,@micdupnyc,Verified tediously 5/13 Malev,9177517544,,,#REF!,,,,
Phoenix Bar,Monday,6:00 PM,7:45 PM,Phoenix Bar Avenue A,Manhattan,East Village,"447 E 13th St, New York, NY 10009, USA",Bar,Free,,in person only,Brad Aford,@papatlalpan,Verified 5/13 Malev,525618540645,,,Monday-6:00 PM-@shanonharrislive,,,,
QED Monday,Monday,6:00 PM,7:30 PM,QED Astoria,Queens,Astoria,"27-16 23rd Ave, Astoria, NY 11105, USA",Comedy Club,$5,5,Sign up at 8:00,QED Staff,@qedastoria,Verified tediously 5/13 Malev,#N/A,,,Monday-6:00 PM-@qedastoria,,,,
Harlem Nights,Monday,6:00 PM,7:30 PM,Harlem Nights Bar,Manhattan,Harlem,"2361 Adam Clayton Powell Jr Blvd, New York, NY 10030, USA",Comedy Club,$7.62 but you get a free drink or fries,5,Text Rashad Bashir,Rashad Bashir,@rbashir_comedy,Verified 5/13 Malev,6463054819,,,Monday-6:00 PM-@comedyinharlem,,,,
Grisly Pear,Monday,6:00 PM,7:00 PM,Grisly Pear,Manhattan,Greenwich Village,"107 MacDougal St, New York, NY 10012, USA",Bar,"1 drink min ($4 pineapple juice, really $3 with $1 tip)",5,in person only,Shanon Harris,@shanonharrislive,Verified tediously 5/13 Malev,#N/A,,,Monday-6:00 PM-@thecomedyshopvillage,,,,
Comedy Shop,Monday,6:00 PM,7:30 PM,Comedy Shop,Manhattan,Greenwich Village,"167 Bleecker St REAR, New York, NY 10012, USA",Comedy Club,$5 cash,6,https://reservations.waivermaster.com/book/?qs=a44dcec9-0cb5-4773-bf53-c734db1dc10a%7C22b1df29-287a-465b-95ad-a94a46f45e20%7C1961fdf3-d94c-47db-afa2-59a679580d45&oqs=evd%3D2024-07-12%26evt%3D18%3A00&_gl=1*g0fy8f*_gcl_au*MTA3MzMwNzM5LjE3MTk0NTkzNzY.*_ga*MTA1MjU3NTYxOC4xNzE5NDU5Mzc2*_ga_RVSSW2PKR7*MTcyMDgxODE5Mi4yLjAuMTcyMDgxODE5Ni4wLjAuMA..,A comedy shop comic,@thecomedyshopvillage,Verified tediously 5/13 Malev,#N/A,,,Monday-6:00 PM-@rbashir_comedy,,,,
Fear City Mic,Monday,6:00 PM,7:30 PM,Fear City Comedy Club,Manhattan,LES,"17 Essex St, New York, NY 10002, USA",Comedy Club,$5,5,Comment on IG @thefearcitycomedyclub,Jonesy,@thefearcitycomedyclub,Verified 5/13 Malev,9707691563,,,Monday-6:00 PM-@thefearcitycomedyclub,,,,
*biweekly* Good Skunk,Monday,6:00 PM,7:30 PM,Secret Pour,Brooklyn,Bushwick,"1114 DeKalb Ave, Brooklyn, NY 11221, USA",Comedy Club,$2,5,sign up there,,@goodskunkcomedy,"Unverified, message sent",#N/A,,,Monday-6:00 PM-@eastvillecomedy,,,,
Eastville House Mic Mondays,Monday,6:00 PM,7:00 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217, USA",Bar,Free,,Sign up in person,,@eastvillecomedy,Unverified,#N/A,Winner gets 1/2 the lottery bucket,,Monday-6:00 PM-@pillowfightmic,,,,
Pillow Fight,Monday,6:00 PM,7:30 PM,Pine Box Rock Shop,Brooklyn,East Williamsburg,"12 Grattan St, Brooklyn, NY 11206, USA",Comedy Club,1 drink,,Sign up in person,,@pillowfightmic,Unverified,#N/A,,,Monday-6:00 PM-@papatlalpan,,,,
Comedy in Harlem,Monday,6:00 PM,7:30 PM,Comedy in Harlem,Manhattan,Harlem,"750A St Nicholas Ave, New York, NY 10031, USA",Comedy Club,$5,5,SUGU,SashaLynn Medina,@comedyinharlem,Verified 5/14 Malev,3477663001,,,Monday-6:00 PM-@micdupnyc,,,,
The Bull Jive mic,Monday,6:15 PM,7:15 PM,Cowboy Tom's,Manhattan,Lower east side,"120 Orchard St, New York, NY 10002",Comedy Club,$5,5-7 min,https://slotted.co/thebulljive/,,@seechaselounge,Verified tediously 5/13 Malev,#N/A,,,Monday-6:15 PM-@seechaselounge,,,,
Spare Time open mic,Monday,6:30 PM,8:00 PM,The Gutter Williamsburg,Brooklyn,Greenpoint/Williamsburg,"200 N 14th St, Brooklyn, NY 11249, USA",Comedy Club,$5+ purchase,4 min,List in person,Jake Hamilton (jakefrickinhamilton),@sparetimecomedy,Verified 5/13 Malev,6784276404,,,Monday-6:30 PM-@sparetimecomedy,,,,
Yard Sale,Monday,6:45 PM,8:30 PM,Alphaville,Brooklyn,Bushwick,"1288 Myrtle Ave, Brooklyn, NY 11221, USA",Bar,$5,5,Sign up in person,,@yardsalegirls,Verified 5/14 Malev,9049829758,,,Monday-6:45 PM-@yardsalegirls,,,,
Tiny Cupboard,Monday,7:00 PM,8:30 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$2,,sign up there Open Mics Page for Tiny Cupboard Blue Room,,@thetinycupboard,Verified tediously 5/13 Malev,#N/A,,,Monday-7:00 PM-@thetinycupboard,,,,
Manic Pixie Dream,Monday,7:00 PM,8:30 PM,Mood Ring Bar,Brooklyn,Bushwick,"1260 Myrtle Ave, Brooklyn, NY 11221, USA",Bar,$2,5,Sign up in person,,@manicpixiedreammic,Unverified,#N/A,,,Monday-7:00 PM-@manicpixiedreammic,,,,
Ethically Ambiguous,Monday,7:00 PM,8:30 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217, USA",Comedy Club,Free,5,Sign up in person,,@ethicallyambiguousmic,Verified tediously 5/13 Malev,5853540988,,,Monday-7:00 PM-@ethicallyambiguousmic,,,,
Fun Mic,Monday,7:00 PM,8:30 PM,Freddy's,Brooklyn,Park Slope,"627 5th Ave, Brooklyn, NY 11215",Bar,Free,,Sign up in person,Asif L./Mike H.,@fisacomedy,Verified 5/13 Malev,4044289418,,,Monday-7:00 PM-@fisacomedy,,,,
Freak Latte,Monday,7:00 PM,8:30 PM,Good Judy,Brooklyn,Park Slope,"563 5th Ave, Brooklyn, NY 11215, USA",Bar,Free,,Sign up in person,,@freaklattemic,Unverified,#N/A,,,Monday-7:00 PM-@freaklattemic,,,,
Gorge a wanna,Monday,7:00 PM,8:30 PM,Rossi's Lounge,Brooklyn,Williamsburg,"25 Broadway, Brooklyn, NY 11249, USA",Bar,$5,2-4 min,show up go up,@heybobbyhickey,@gorgeawanna,Verified 5/13 Malev,4152975274,,,Monday-7:00 PM-@gorgeawanna,,,,
Flow State Mic,Monday,7:00 PM,8:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002, USA",Comedy Club,$5,5,slotted.co/flowstatemic,Sesh Comedy,@flowstatecomedy,Verified tediously 5/13 Malev,#N/A,,,Monday-7:00 PM-@flowstatecomedy,,,,
Femmes and Friends Mic,Monday,7:00 PM,8:30 PM,NYC Suite Bar,Manhattan,UWS,"992 Amsterdam Ave, New York, NY 10025, USA",Bar,Free,5,google sheet (link on IG),,@femmesandfriendsmic,Verified 5/13 Malev,#N/A,,,Monday-7:00 PM-@femmesandfriendsmic,,,,
Bushwick Comedy Club,Monday,7:30 PM,8:30 PM,Bushwick Comedy Club,Brooklyn,Bushwick,"259 Melrose St, Brooklyn, NY 11206, USA",Comedy Club,$5. (NO CASH),,www.bushwickcomedy.com,Jad/Brooks/Kyle,@bushwickcomedyclub,Verified tediously 5/13 Malev,#N/A,,,Monday-7:30 PM-@bushwickcomedyclub,,,,
All Friends Here/Open to Suggestions,Monday,7:30 PM,9:00 PM,Cobra Club Brooklyn,Brooklyn,Bushwick,"6 Wyckoff Ave, Brooklyn, NY 11237, USA",Comedy Club,Free,5,Sign up in person,,@were.all.friends.here.comedy,Verified 5/14 Malev,3364470342,Changes host by week: 1st/3rd OpentoSuggestions. 2nd/4th We'reAllFriendsHere,,Monday-7:30 PM-@were.all.friends.here.comedy,,,,
Producer's Club,Monday,7:30 PM,9:00 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Comedy Club,$6 online,,in person only,Dee Major,@micdupnyc,Verified 5/13 Malev,9177517544,,,Monday-7:30 PM-@micdupnyc,,,,
Comedians on the Loose,Monday,7:30 PM,9:30 PM,Black Cat LES,Manhattan,LES,"140 Eldridge St, New York, NY 10002, USA",Coffee Shop,$6 cash,5,https://www.comediansontheloose.com/open-mics,Sonja Savanovic,@cotlcomedy,Verified tediously 5/13 Malev,#N/A,,,Monday-7:30 PM-@cotlcomedy,,,,
Take Off!,Monday,8:00 PM,9:30 PM,Eastville Comedy Club,Brooklyn,Downtown Brooklyn,"487 Atlantic Ave, Brooklyn, NY 11217, USA",Comedy Club,Free,5,Sign up in person,,@takeoff.openmic,Unverified,#N/A,,,Monday-8:00 PM-@takeoff.openmic,,,,
Easy paradise mag @kgb,Monday,8:00 PM,1:00 AM,KGB Bar,Manhattan,East Village,"85 E 4th St, New York, NY 10003, USA",Bar,2 drinks,,dm easyparadisemag on ig,Matt proctor,@easyparadisemag,Verified tediously 5/13 Malev,#N/A,,,Monday-8:00 PM-@easyparadisemag,,,,
Flow State Mic,Monday,8:00 PM,9:00 PM,Sesh Comedy,Manhattan,LES,"140 Eldridge St, New York, NY 10002, USA",Comedy Club,$5,5-8 minutes,slotted.co/flowstatemic,Sesh Comedy,@flowstatecomedy,Verified tediously 5/13 Malev,#N/A,,,Monday-8:00 PM-@flowstatecomedy,,,,
Stumble Inn,Monday,8:00 PM,10:30 PM,Stumble Inn,Manhattan,UES,"1454 2nd Ave, New York, NY 10021, USA",Bar,Free (buy smth at bar pls),5,signup there,Jon Mahoney,@jonmahoneycomedy,Verified 5/13 Malev,2036467484,,,Monday-8:00 PM-@jonmahoneycomedy,,,,
Tiny Cupboard,Monday,8:30 PM,10:00 PM,The Tiny Cupboard,Brooklyn,Bushwick,"10 Cooper St, Brooklyn, NY 11207, USA",Comedy Club,$2,,sign up there Open Mics Page for Tiny Cupboard Blue Room,,@thetinycupboard,Verified tediously 5/13 Malev,#N/A,,,Monday-8:30 PM-@thetinycupboard,,,,
Producer's Club,Monday,8:30 PM,10:30 PM,Producer's Club,Manhattan,Hell's Kitchen,"358 W 44th St, New York, NY 10036, USA",Comedy Club,$5 cash,5,in person only,Dee Major,@micdupnyc,Verified 5/13 Malev,9177517544,,,Monday-8:30 PM-@micdupnyc,,,,
The Joy of Ranting,Monday,9:00 PM,10:30 PM,Windjammer,Brooklyn,Bushwick,"1008 Ocean Blvd, Isle of Palms, SC 29451, USA",Bar,Free,5,Sign up in person,,,Unverified,#N/A,,,Monday-9:00 PM-,,,,
